N	Total Time	Average CPE
362	6765	18.69
363	6529	17.99
364	7464	20.51
365	9409	25.78
366	7022	19.19
367	6820	18.58
368	8823	23.98
369	5486	14.87
370	6623	17.90
371	5638	15.20
372	6219	16.72
373	5267	14.12
374	5289	14.14
375	5273	14.06
376	5348	14.22
377	5480	14.54
378	5349	14.15
379	5749	15.17
380	5729	15.08
381	6608	17.34
382	9050	23.69
383	5503	14.37
384	5635	14.67
385	5667	14.72
386	5536	14.34
387	5660	14.63
388	6134	15.81
389	5639	14.50
390	9652	24.75
391	8958	22.91
392	6811	17.38
393	6357	16.18
394	5592	14.19
395	7238	18.32
396	5667	14.31
397	5667	14.27
398	9277	23.31
399	5701	14.29
400	8391	20.98
401	8896	22.18
402	10667	26.53
403	9146	22.69
404	9282	22.98
405	15633	38.60
406	14933	36.78
407	8894	21.85
408	5829	14.29
409	6144	15.02
410	9169	22.36
411	7533	18.33
412	7612	18.48
413	6148	14.89
414	8399	20.29
415	5956	14.35
416	6469	15.55
417	5880	14.10
418	6778	16.22
419	6163	14.71
420	7347	17.49
421	6731	15.99
422	5955	14.11
423	6289	14.87
424	6152	14.51
425	6064	14.27
426	6016	14.12
427	6160	14.43
428	6130	14.32
429	7713	17.98
430	6383	14.84
431	7254	16.83
432	6160	14.26
433	7013	16.20
434	6134	14.13
435	6198	14.25
436	6466	14.83
437	6173	14.13
438	6680	15.25
439	6193	14.11
440	6190	14.07
441	6674	15.13
442	6480	14.66
443	7232	16.33
444	6690	15.07
445	6404	14.39
446	14080	31.57
447	9915	22.18
448	7969	17.79
449	7370	16.41
450	7715	17.14
451	9878	21.90
452	6374	14.10
453	6401	14.13
454	6592	14.52
455	9356	20.56
456	7537	16.53
457	6967	15.25
458	6926	15.12
459	6572	14.32
460	6545	14.23
461	6661	14.45
462	6534	14.14
463	6541	14.13
464	6776	14.60
465	7626	16.40
466	10894	23.38
467	10861	23.26
468	10311	22.03
469	6702	14.29
470	6786	14.44
471	6703	14.23
472	6725	14.25
473	7077	14.96
474	6753	14.25
475	6762	14.24
476	6773	14.23
477	6795	14.25
478	6800	14.23
479	6822	14.24
480	6828	14.22
481	7452	15.49
482	6870	14.25
483	6876	14.24
484	6884	14.22
485	6907	14.24
486	6914	14.23
487	6937	14.24
488	6950	14.24
489	10059	20.57
490	11608	23.69
491	12536	25.53
492	12338	25.08
493	12240	24.83
494	14513	29.38
495	11973	24.19
496	12784	25.77
497	12539	25.23
498	15160	30.44
499	10798	21.64
500	12453	24.91
501	13280	26.51
502	12825	25.55
503	13475	26.79
504	12602	25.00
505	12551	24.85
506	10813	21.37
507	9018	17.79
508	10271	20.22
509	7931	15.58
510	8097	15.88
511	8085	15.82
512	8120	15.86
513	8345	16.27
514	7262	14.13
515	9878	19.18
516	8304	16.09
517	8195	15.85
518	8281	15.99
519	7573	14.59
520	9793	18.83
521	10656	20.45
522	10997	21.07
523	9774	18.69
524	10290	19.64
525	9621	18.33
526	8984	17.08
527	8818	16.73
528	9931	18.81
529	10126	19.14
530	11226	21.18
531	11166	21.03
532	9370	17.61
533	13243	24.85
534	11533	21.60
535	13200	24.67
536	13076	24.40
537	12222	22.76
538	13653	25.38
539	10848	20.13
540	16581	30.71
541	8989	16.62
542	12925	23.85
543	11004	20.27
544	13423	24.67
545	14627	26.84
546	12621	23.12
547	12402	22.67
548	10149	18.52
549	8769	15.97
550	10254	18.64
551	13921	25.26
552	10970	19.87
553	18963	34.29
554	11313	20.42
555	9938	17.91
556	12153	21.86
557	17916	32.17
558	12911	23.14
559	10463	18.72
560	12584	22.47
561	15007	26.75
562	20640	36.73
563	9007	16.00
564	9872	17.50
565	10126	17.92
566	9663	17.07
567	13167	23.22
568	13936	24.54
569	11679	20.53
570	13707	24.05
571	11254	19.71
572	11380	19.90
573	12423	21.68
574	18536	32.29
575	10788	18.76
576	13468	23.38
577	13445	23.30
578	11532	19.95
579	13488	23.30
580	13313	22.95
581	13411	23.08
582	13364	22.96
583	13604	23.33
584	13894	23.79
585	13643	23.32
586	12711	21.69
587	13858	23.61
588	15691	26.69
589	13965	23.71
590	13943	23.63
591	13291	22.49
592	12491	21.10
593	16626	28.04
594	15085	25.40
595	13959	23.46
596	13621	22.85
597	26402	44.22
598	14784	24.72
599	16871	28.17
600	16248	27.08
601	27327	45.47
602	11832	19.65
603	14000	23.22
604	14397	23.84
605	16020	26.48
606	13769	22.72
607	16720	27.55
608	15364	25.27
609	10155	16.67
610	11388	18.67
611	9382	15.36
612	10386	16.97
613	12773	20.84
614	13975	22.76
615	13930	22.65
616	14202	23.06
617	12609	20.44
618	8963	14.50
619	10273	16.60
620	9617	15.51
621	9975	16.06
622	9612	15.45
623	9014	14.47
624	9850	15.79
625	9154	14.65
626	9867	15.76
627	10165	16.21
628	10097	16.08
629	13760	21.88
630	14108	22.39
631	10679	16.92
632	10651	16.85
633	11271	17.81
634	9276	14.63
635	11573	18.23
636	10062	15.82
637	11442	17.96
638	10490	16.44
639	11379	17.81
640	10511	16.42
641	11179	17.44
642	13047	20.32
643	12292	19.12
644	13585	21.09
645	12695	19.68
646	19202	29.72
647	13945	21.55
648	13376	20.64
649	13713	21.13
650	14060	21.63
651	12502	19.20
652	14893	22.84
653	15676	24.01
654	15597	23.85
655	25475	38.89
656	17557	26.76
657	14953	22.76
658	16160	24.56
659	16350	24.81
660	16711	25.32
661	15561	23.54
662	15593	23.55
663	16222	24.47
664	15782	23.77
665	15758	23.70
666	14842	22.29
667	14708	22.05
668	14451	21.63
669	14532	21.72
670	28213	42.11
671	15904	23.70
672	14741	21.94
673	16310	24.23
674	15041	22.32
675	18479	27.38
676	16483	24.38
677	20050	29.62
678	17412	25.68
679	16616	24.47
680	13368	19.66
681	11425	16.78
682	16738	24.54
683	16537	24.21
684	14342	20.97
685	14522	21.20
686	15786	23.01
687	15065	21.93
688	17125	24.89
689	16843	24.45
690	16334	23.67
691	16218	23.47
692	54628	78.94
693	29025	41.88
694	21526	31.02
695	30351	43.67
696	22424	32.22
697	16726	24.00
698	16935	24.26
699	17545	25.10
700	16398	23.43
701	20641	29.45
702	19334	27.54
703	18913	26.90
704	18682	26.54
705	16184	22.96
706	21355	30.25
707	17561	24.84
708	18774	26.52
709	20982	29.59
710	18129	25.53
711	18248	25.67
712	16907	23.75
713	16482	23.12
714	17534	24.56
715	17756	24.83
716	17025	23.78
717	18066	25.20
718	18768	26.14
719	17217	23.95
720	18105	25.15
721	17298	23.99
722	18145	25.13
723	18271	25.27
724	21250	29.35
725	70746	97.58
726	17672	24.34
727	17964	24.71
728	17897	24.58
729	16811	23.06
730	29396	40.27
731	22100	30.23
732	17413	23.79
733	18017	24.58
734	19150	26.09
735	18675	25.41
736	18123	24.62
737	17126	23.24
738	19894	26.96
739	17381	23.52
740	33163	44.81
741	16859	22.75
742	29692	40.02
743	17131	23.06
744	18691	25.12
745	17142	23.01
746	17146	22.98
747	16914	22.64
748	17463	23.35
749	25916	34.60
750	18381	24.51
751	18232	24.28
752	18405	24.47
753	18679	24.81
754	18978	25.17
755	19710	26.11
756	83809	110.86
757	19666	25.98
758	20968	27.66
759	19843	26.14
760	42789	56.30
761	20371	26.77
762	19626	25.76
763	27560	36.12
764	18878	24.71
765	18922	24.73
766	18003	23.50
767	18202	23.73
768	18421	23.99
769	17819	23.17
770	28632	37.18
771	19918	25.83
772	27477	35.59
773	18807	24.33
774	19212	24.82
775	18834	24.30
776	17654	22.75
777	27154	34.95
778	18966	24.38
779	51921	66.65
780	72342	92.75
781	19414	24.86
782	20220	25.86
783	20391	26.04
784	20133	25.68
785	19380	24.69
786	18287	23.27
787	92777	117.89
788	18167	23.05
789	17043	21.60
790	18193	23.03
791	20122	25.44
792	20227	25.54
793	20018	25.24
794	24605	30.99
795	97045	122.07
796	63274	79.49
797	19115	23.98
798	19056	23.88
799	19517	24.43
800	18380	22.98
801	18321	22.87
802	21100	26.31
803	18335	22.83
804	107026	133.12
805	18654	23.17
806	18780	23.30
807	19930	24.70
808	20770	25.71
809	132963	164.35
810	19554	24.14
811	22363	27.57
812	18637	22.95
813	18407	22.64
814	19088	23.45
815	20083	24.64
816	19234	23.57
817	20586	25.20
818	18917	23.13
819	18287	22.33
820	22165	27.03
821	29782	36.28
822	19375	23.57
823	19313	23.47
824	38043	46.17
825	17950	21.76
826	15864	19.21
827	16392	19.82
828	18628	22.50
829	21963	26.49
830	25972	31.29
831	21888	26.34
832	21943	26.37
833	19890	23.88
834	28080	33.67
835	20340	24.36
836	22160	26.51
837	25684	30.69
838	21877	26.11
839	21641	25.79
840	21841	26.00
841	20701	24.61
842	19483	23.14
843	20243	24.01
844	20130	23.85
845	94139	111.41
846	19337	22.86
847	14737	17.40
848	41415	48.84
849	19316	22.75
850	32754	38.53
851	25995	30.55
852	28656	33.63
853	24189	28.36
854	19682	23.05
855	45666	53.41
856	19982	23.34
857	19806	23.11
858	25876	30.16
859	19299	22.47
860	18902	21.98
861	19726	22.91
862	20974	24.33
863	19911	23.07
864	23912	27.68
865	22185	25.65
866	25072	28.95
867	24971	28.80
868	20142	23.21
869	25821	29.71
870	22537	25.90
871	20335	23.35
872	32286	37.03
873	20970	24.02
874	24011	27.47
875	25632	29.29
876	19512	22.27
877	23565	26.87
878	24385	27.77
879	12389	14.09
880	12413	14.11
881	12447	14.13
882	23119	26.21
883	29570	33.49
884	27988	31.66
885	22937	25.92
886	22834	25.77
887	22399	25.25
888	14368	16.18
889	12669	14.25
890	12676	14.24
891	12674	14.22
892	15663	17.56
893	14308	16.02
894	14839	16.60
895	16970	18.96
896	24022	26.81
897	21717	24.21
898	21372	23.80
899	25734	28.63
900	28296	31.44
901	24999	27.75
902	20683	22.93
903	25188	27.89
904	24109	26.67
905	23843	26.35
906	21248	23.45
907	23513	25.92
908	21825	24.04
909	21019	23.12
910	21536	23.67
911	21568	23.68
912	23065	25.29
913	21276	23.30
914	21003	22.98
915	24886	27.20
916	22233	24.27
917	23348	25.46
918	22616	24.64
919	30727	33.44
920	20097	21.84
921	23076	25.06
922	23260	25.23
923	33784	36.60
924	23665	25.61
925	22500	24.32
926	26622	28.75
927	17749	19.15
928	14274	15.38
929	14853	15.99
930	124490	133.86
931	13760	14.78
932	13223	14.19
933	13199	14.15
934	13255	14.19
935	13211	14.13
936	13272	14.18
937	13242	14.13
938	13250	14.13
939	13289	14.15
940	13418	14.27
941	13301	14.13
942	13358	14.18
943	13335	14.14
944	24118	25.55
945	21909	23.18
946	21869	23.12
947	21690	22.90
948	22217	23.44
949	21963	23.14
950	22046	23.21
951	19203	20.19
952	13452	14.13
953	13465	14.13
954	13708	14.37
955	13464	14.10
956	13493	14.11
957	13535	14.14
958	13516	14.11
959	13545	14.12
960	13555	14.12
961	14534	15.12
962	13560	14.10
963	13581	14.10
964	13611	14.12
965	13609	14.10
966	13657	14.14
967	13674	14.14
968	15194	15.70
969	13704	14.14
970	13713	14.14
971	13726	14.14
972	14466	14.88
973	21102	21.69
974	22199	22.79
975	14027	14.39
976	13780	14.12
977	13821	14.15
978	13843	14.15
979	13819	14.12
980	13824	14.11
981	13874	14.14
982	18426	18.76
983	15653	15.92
984	14097	14.33
985	14040	14.25
986	13962	14.16
987	13925	14.11
988	13942	14.11
989	18931	19.14
990	37809	38.19
991	25358	25.59
992	15784	15.91
993	14008	14.11
994	14010	14.09
995	14055	14.13
996	14125	14.18
997	14116	14.16
998	14104	14.13
999	14096	14.11
1000	24704	24.70
1001	14373	14.36
1002	14838	14.81
1003	24181	24.11
1004	18296	18.22
1005	18601	18.51
1006	14189	14.10
1007	14276	14.18
1008	15127	15.01
1009	14228	14.10
1010	14317	14.18
1011	14482	14.32
1012	14293	14.12
1013	14298	14.11
1014	14311	14.11
1015	19547	19.26
1016	14493	14.26
1017	14488	14.25
1018	14688	14.43
1019	14633	14.36
1020	14364	14.08
1021	14423	14.13
1022	18531	18.13
1023	19382	18.95
1024	14472	14.13
1025	14441	14.09
1026	14567	14.20
1027	16348	15.92
1028	14499	14.10
1029	14554	14.14
1030	14511	14.09
1031	14514	14.08
1032	17469	16.93
1033	14572	14.11
1034	14586	14.11
1035	14612	14.12
1036	16597	16.02
1037	17486	16.86
1038	14645	14.11
1039	14683	14.13
1040	16398	15.77
1041	25909	24.89
1042	15469	14.85
1043	14732	14.12
1044	14740	14.12
1045	17697	16.93
1046	14929	14.27
1047	14835	14.17
1048	14823	14.14
1049	14799	14.11
1050	14867	14.16
1051	15592	14.84
1052	23028	21.89
1053	14896	14.15
1054	14902	14.14
1055	14902	14.13
1056	14924	14.13
1057	16283	15.40
1058	14942	14.12
1059	14959	14.13
1060	17905	16.89
1061	22587	21.29
1062	20791	19.58
1063	15189	14.29
1064	15151	14.24
1065	16436	15.43
1066	15050	14.12
1067	15505	14.53
1068	15112	14.15
1069	15112	14.14
1070	15230	14.23
1071	15162	14.16
1072	15251	14.23
1073	15193	14.16
1074	15204	14.16
1075	15282	14.22
1076	15209	14.13
1077	15458	14.35
1078	15237	14.13
1079	15243	14.13
1080	15277	14.15
1081	15288	14.14
1082	15303	14.14
1083	15261	14.09
1084	15276	14.09
1085	17375	16.01
1086	15495	14.27
1087	15341	14.11
1088	15349	14.11
1089	15335	14.08
1090	15356	14.09
1091	15433	14.15
1092	16714	15.31
1093	15392	14.08
1094	15674	14.33
1095	17486	15.97
1096	15919	14.52
1097	15476	14.11
1098	15488	14.11
1099	15527	14.13
1100	17910	16.28
1101	15530	14.11
1102	15560	14.12
1103	15655	14.19
1104	15571	14.10
1105	15578	14.10
1106	15617	14.12
1107	15651	14.14
1108	15891	14.34
1109	15806	14.25
1110	15714	14.16
1111	15688	14.12
1112	15756	14.17
1113	15907	14.29
1114	15807	14.19
1115	15735	14.11
1116	15745	14.11
1117	15837	14.18
1118	15825	14.15
1119	15793	14.11
1120	21892	19.55
1121	16560	14.77
1122	15871	14.15
1123	15862	14.12
1124	15875	14.12
1125	16785	14.92
1126	15968	14.18
1127	15963	14.16
1128	16006	14.19
1129	16605	14.71
1130	15929	14.10
1131	15973	14.12
1132	15981	14.12
1133	15969	14.09
1134	17540	15.47
1135	16014	14.11
1136	16029	14.11
1137	17667	15.54
1138	57401	50.44
1139	23293	20.45
