N	Total Time	Average CPE
361	5624	15.58
362	5246	14.49
363	4079	11.24
364	4665	12.82
365	3733	10.23
366	3757	10.27
367	3803	10.36
368	3756	10.21
369	6934	18.79
370	5537	14.96
371	4283	11.54
372	3854	10.36
373	6436	17.25
374	4049	10.83
375	3899	10.40
376	3897	10.36
377	3911	10.37
378	3944	10.43
379	4936	13.02
380	6390	16.82
381	6419	16.85
382	6439	16.86
383	6416	16.75
384	6451	16.80
385	6505	16.90
386	6669	17.28
387	6500	16.80
388	6644	17.12
389	6787	17.45
390	6534	16.75
391	6685	17.10
392	6751	17.22
393	6809	17.33
394	6618	16.80
395	6705	16.97
396	4497	11.36
397	4024	10.14
398	4064	10.21
399	4048	10.15
400	7517	18.79
401	6842	17.06
402	6743	16.77
403	6765	16.79
404	6752	16.71
405	6820	16.84
406	4089	10.07
407	4103	10.08
408	4123	10.11
409	4125	10.09
410	4111	10.03
411	4120	10.02
412	5240	12.72
413	4587	11.11
414	4092	9.88
415	4099	9.88
416	4108	9.88
417	4117	9.87
418	4117	9.85
419	4126	9.85
420	4128	9.83
421	4129	9.81
422	4204	9.96
423	4157	9.83
424	4148	9.78
425	4159	9.79
426	4171	9.79
427	4193	9.82
428	4195	9.80
429	4180	9.74
430	4187	9.74
431	4204	9.75
432	4206	9.74
433	4211	9.73
434	4221	9.73
435	4305	9.90
436	4249	9.75
437	4252	9.73
438	4250	9.70
439	4242	9.66
440	4258	9.68
441	4268	9.68
442	4288	9.70
443	5494	12.40
444	5793	13.05
445	7038	15.82
446	7114	15.95
447	7267	16.26
448	6168	13.77
449	5555	12.37
450	5529	12.29
451	5440	12.06
452	5461	12.08
453	5468	12.07
454	4415	9.72
455	4437	9.75
456	5235	11.48
457	4830	10.57
458	4450	9.72
459	5704	12.43
460	5589	12.15
461	5574	12.09
462	5643	12.21
463	5657	12.22
464	5653	12.18
465	5678	12.21
466	47677	102.31
467	5969	12.78
468	6578	14.06
469	6838	14.58
470	7056	15.01
471	6675	14.17
472	6654	14.10
473	6783	14.34
474	6644	14.02
475	7010	14.76
476	7076	14.87
477	6695	14.04
478	6317	13.22
479	6662	13.91
480	7794	16.24
481	6730	13.99
482	6985	14.49
483	7034	14.56
484	6814	14.08
485	6847	14.12
486	7411	15.25
487	7907	16.24
488	7249	14.85
489	7175	14.67
490	9233	18.84
491	4626	9.42
492	7140	14.51
493	4810	9.76
494	4838	9.79
495	4773	9.64
496	4746	9.57
497	4813	9.68
498	4980	10.00
499	4669	9.36
500	5157	10.31
501	5354	10.69
502	4712	9.39
503	4698	9.34
504	4697	9.32
505	4703	9.31
506	5223	10.32
507	5203	10.26
508	4745	9.34
509	4740	9.31
510	4750	9.31
511	4751	9.30
512	4763	9.30
513	5303	10.34
514	4968	9.67
515	4984	9.68
516	4974	9.64
517	4985	9.64
518	4993	9.64
519	5008	9.65
520	4995	9.61
521	6121	11.75
522	6670	12.78
523	5774	11.04
524	6449	12.31
525	5415	10.31
526	5412	10.29
527	5411	10.27
528	5436	10.30
529	5449	10.30
530	5465	10.31
531	5468	10.30
532	5483	10.31
533	5495	10.31
534	5495	10.29
535	5504	10.29
536	5509	10.28
537	5514	10.27
538	5526	10.27
539	5527	10.25
540	5528	10.24
541	5541	10.24
542	5553	10.25
543	5549	10.22
544	5554	10.21
545	5564	10.21
546	5567	10.20
547	5575	10.19
548	5584	10.19
549	5587	10.18
550	5583	10.15
551	5607	10.18
552	5604	10.15
553	5619	10.16
554	5614	10.13
555	5630	10.14
556	5637	10.14
557	5647	10.14
558	7829	14.03
559	5670	10.14
560	6133	10.95
561	6499	11.58
562	5334	9.49
563	6097	10.83
564	5692	10.09
565	5685	10.06
566	5689	10.05
567	7898	13.93
568	5406	9.52
569	5414	9.51
570	5435	9.54
571	5444	9.53
572	5450	9.53
573	5432	9.48
574	5476	9.54
575	5894	10.25
576	6046	10.50
577	5763	9.99
