N	Total Time	Average CPE
356	44095	123.86
357	44997	126.04
358	43972	122.83
359	43152	120.20
360	43597	121.10
361	52715	146.02
362	44774	123.69
363	44833	123.51
364	44983	123.58
365	46673	127.87
366	43948	120.08
367	43587	118.77
368	43839	119.13
369	44324	120.12
370	44437	120.10
371	44504	119.96
372	47123	126.67
373	51715	138.65
374	56371	150.72
375	50460	134.56
376	46094	122.59
377	44754	118.71
378	46327	122.56
379	47565	125.50
380	47301	124.48
381	45350	119.03
382	48561	127.12
383	47302	123.50
384	47401	123.44
385	48089	124.91
386	50285	130.27
387	46692	120.65
388	46515	119.88
389	46631	119.87
390	47890	122.79
391	50359	128.80
392	50558	128.97
393	51862	131.96
394	49391	125.36
395	50469	127.77
396	49111	124.02
397	51142	128.82
398	49564	124.53
399	52490	131.55
400	64601	161.50
401	65898	164.33
402	59147	147.13
403	59572	147.82
404	51017	126.28
405	52753	130.25
406	51877	127.78
407	51117	125.59
408	51484	126.19
409	51716	126.44
410	52982	129.22
411	58040	141.22
412	62264	151.13
413	50142	121.41
414	52712	127.32
415	52150	125.66
416	53324	128.18
417	52860	126.76
418	61600	147.37
419	54027	128.94
420	53333	126.98
421	50965	121.06
422	51156	121.22
423	55384	130.93
424	54027	127.42
425	53093	124.92
426	55848	131.10
427	54072	126.63
428	51993	121.48
429	52103	121.45
430	55887	129.97
431	56601	131.32
432	62874	145.54
433	64697	149.42
434	61340	141.34
435	67280	154.67
436	71623	164.27
437	54909	125.65
438	52358	119.54
439	53296	121.40
440	61948	140.79
441	71692	162.57
442	66829	151.20
443	68077	153.67
444	66332	149.40
445	69280	155.69
446	68011	152.49
447	67991	152.11
448	73684	164.47
449	68632	152.86
450	67726	150.50
451	67064	148.70
452	73342	162.26
453	71119	157.00
454	87888	193.59
455	95173	209.17
456	81928	179.67
457	65300	142.89
458	66758	145.76
459	59988	130.69
460	56550	122.93
461	55207	119.75
462	54743	118.49
463	55626	120.14
464	54777	118.05
465	56171	120.80
466	55016	118.06
467	58537	125.35
468	57586	123.05
469	57748	123.13
470	57627	122.61
471	58863	124.97
472	55966	118.57
473	56321	119.07
474	60916	128.51
475	56533	119.02
476	56312	118.30
477	56298	118.03
478	57569	120.44
479	60593	126.50
480	57646	120.10
481	57385	119.30
482	58237	120.82
483	59210	122.59
484	60016	124.00
485	60459	124.66
486	57348	118.00
487	57598	118.27
488	59142	121.19
489	57760	118.12
490	58816	120.03
491	60489	123.20
492	60221	122.40
493	60380	122.47
494	60590	122.65
495	61962	125.18
496	59086	119.12
497	59330	119.38
498	60853	122.19
499	61325	122.90
500	60094	120.19
501	59110	117.98
502	59840	119.20
503	59959	119.20
504	62736	124.48
505	64539	127.80
506	61873	122.28
507	64229	126.68
508	60617	119.32
509	60650	119.16
510	60896	119.40
511	66974	131.06
512	63688	124.39
513	69150	134.80
514	65348	127.14
515	61217	118.87
516	61298	118.79
517	61301	118.57
518	65271	126.01
519	62660	120.73
520	61276	117.84
521	61498	118.04
522	63042	120.77
523	64740	123.79
524	62012	118.34
525	62781	119.58
526	62350	118.54
527	62160	117.95
528	62707	118.76
529	63572	120.17
530	64864	122.38
531	65040	122.49
532	64618	121.46
533	63639	119.40
534	66065	123.72
535	65426	122.29
536	65443	122.10
537	65489	121.95
538	65249	121.28
539	64837	120.29
540	64850	120.09
541	66808	123.49
542	66229	122.19
543	69571	128.12
544	70521	129.63
545	66519	122.05
546	67576	123.77
547	66734	122.00
548	67215	122.66
549	66176	120.54
550	65859	119.74
551	65484	118.85
552	68825	124.68
553	67481	122.03
554	68641	123.90
555	65447	117.92
556	68436	123.09
557	65457	117.52
558	67042	120.15
559	65970	118.01
560	66067	117.98
561	66128	117.88
562	66335	118.03
563	67028	119.06
564	66832	118.50
565	67897	120.17
566	68713	121.40
567	67392	118.86
568	67513	118.86
569	67573	118.76
570	72051	126.41
571	77905	136.44
572	72627	126.97
573	74765	130.48
574	80328	139.94
575	75658	131.58
576	73716	127.98
577	70367	121.95
578	74419	128.75
579	72431	125.10
580	71137	122.65
581	68258	117.48
582	68723	118.08
583	73088	125.37
584	69335	118.72
585	70841	121.10
586	69894	119.27
587	71762	122.25
588	72109	122.63
589	73185	124.25
590	69580	117.93
591	70382	119.09
592	71651	121.03
593	69670	117.49
594	80634	135.75
595	73564	123.64
596	72815	122.17
597	74725	125.17
598	73244	122.48
599	72758	121.47
600	72684	121.14
601	72664	120.91
602	71371	118.56
603	74425	123.42
604	71363	118.15
605	71324	117.89
606	74406	122.78
607	71475	117.75
608	76244	125.40
609	76137	125.02
610	75549	123.85
611	75095	122.91
612	74513	121.75
613	74957	122.28
614	74741	121.73
615	77912	126.69
616	75422	122.44
617	72404	117.35
618	72582	117.45
619	73156	118.18
620	73518	118.58
621	78036	125.66
622	75843	121.93
623	75871	121.78
624	75888	121.62
625	76042	121.67
626	77208	123.34
627	82562	131.68
628	77164	122.87
629	78705	125.13
630	76739	121.81
631	77035	122.08
632	79194	125.31
633	75114	118.66
634	74379	117.32
635	76481	120.44
636	79296	124.68
637	78739	123.61
638	75369	118.13
639	75461	118.09
640	76059	118.84
641	76562	119.44
642	78197	121.80
643	79451	123.56
644	78371	121.69
645	78418	121.58
646	78202	121.06
647	76307	117.94
648	76049	117.36
649	76472	117.83
650	76718	118.03
651	76893	118.12
652	77466	118.81
653	78675	120.48
654	77337	118.25
655	81161	123.91
656	76984	117.35
657	77294	117.65
658	81615	124.03
659	79896	121.24
660	77949	118.10
661	77464	117.19
662	80161	121.09
663	80877	121.99
664	82674	124.51
665	80320	120.78
666	109658	164.65
667	102167	153.17
668	95843	143.48
669	83187	124.35
670	81137	121.10
671	78928	117.63
672	80849	120.31
673	81542	121.16
674	79472	117.91
675	80298	118.96
676	82231	121.64
677	82539	121.92
678	83576	123.27
679	82418	121.38
680	81440	119.76
681	84736	124.43
682	83116	121.87
683	83636	122.45
684	82806	121.06
685	81183	118.52
686	81255	118.45
687	81467	118.58
688	81869	119.00
689	81455	118.22
690	80964	117.34
691	84337	122.05
692	84896	122.68
693	81527	117.64
694	81310	117.16
695	86720	124.78
696	84527	121.45
697	86375	123.92
698	86353	123.71
699	88219	126.21
700	85660	122.37
701	85926	122.58
702	85256	121.45
703	83154	118.28
704	82764	117.56
705	82918	117.61
706	83239	117.90
707	82776	117.08
708	89820	126.86
709	84302	118.90
710	87715	123.54
711	90599	127.42
712	87571	122.99
713	83386	116.95
714	83971	117.61
715	87003	121.68
716	90394	126.25
717	86537	120.69
718	83980	116.96
719	94104	130.88
720	113424	157.53
721	108872	151.00
722	138919	192.41
723	113754	157.34
724	126352	174.52
725	126860	174.98
726	140124	193.01
727	110426	151.89
728	107286	147.37
729	114901	157.61
730	108633	148.81
731	116177	158.93
732	111306	152.06
733	111440	152.03
734	107130	145.95
735	149158	202.94
736	114007	154.90
737	141140	191.51
738	139300	188.75
739	250026	338.33
740	130184	175.92
741	148074	199.83
742	117325	158.12
743	151472	203.87
744	333993	448.92
745	223847	300.47
746	143291	192.08
747	220825	295.62
748	377052	504.08
749	264131	352.64
750	120801	161.07
751	132446	176.36
752	113670	151.16
753	133763	177.64
754	107489	142.56
755	116675	154.54
756	111569	147.58
757	100758	133.10
758	118230	155.98
759	115623	152.34
760	150655	198.23
761	149240	196.11
762	118467	155.47
763	110364	144.64
764	102369	133.99
765	115313	150.74
766	122089	159.39
767	116459	151.84
768	108429	141.18
769	103229	134.24
770	104379	135.56
771	102725	133.24
772	102195	132.38
773	100512	130.03
774	98878	127.75
775	99013	127.76
776	99854	128.68
777	103808	133.60
778	99421	127.79
779	99101	127.22
780	99648	127.75
781	103753	132.85
782	100975	129.12
783	101495	129.62
784	111049	141.64
785	100916	128.56
786	103105	131.18
787	92794	117.91
788	93440	118.58
789	92341	117.04
790	97936	123.97
791	92714	117.21
792	96579	121.94
793	100105	126.24
794	101492	127.82
795	97983	123.25
796	97251	122.17
797	96527	121.11
798	98618	123.58
799	97467	121.99
800	95940	119.92
801	98011	122.36
802	99884	124.54
803	96295	119.92
804	95283	118.51
805	101891	126.57
806	98024	121.62
807	105695	130.97
808	101735	125.91
809	99083	122.48
810	98738	121.90
811	98896	121.94
812	100364	123.60
813	102556	126.15
814	104716	128.64
815	104292	127.97
816	106351	130.33
817	106129	129.90
818	105124	128.51
819	103115	125.90
820	108481	132.29
821	103549	126.13
822	106206	129.20
823	103623	125.91
824	108765	132.00
825	104356	126.49
826	107472	130.11
827	109168	132.00
828	110956	134.00
829	114645	138.29
830	101501	122.29
831	104220	125.42
832	108296	130.16
833	122899	147.54
834	114151	136.87
835	107556	128.81
836	100638	120.38
837	98849	118.10
838	100199	119.57
839	102195	121.81
840	102281	121.76
841	100427	119.41
842	103808	123.29
843	100248	118.92
844	102116	120.99
845	106621	126.18
846	104607	123.65
847	103738	122.48
848	104458	123.18
849	105933	124.77
850	103102	121.30
851	106355	124.98
852	100373	117.81
853	99867	117.08
854	101291	118.61
855	100527	117.58
856	100114	116.96
857	101744	118.72
858	104802	122.15
859	100313	116.78
860	107393	124.88
861	104924	121.86
862	104541	121.28
863	102423	118.68
864	105468	122.07
865	104773	121.12
866	104828	121.05
867	104990	121.10
868	106657	122.88
869	106209	122.22
870	105672	121.46
871	105324	120.92
872	102641	117.71
873	107326	122.94
874	108423	124.05
875	105832	120.95
876	108096	123.40
877	107514	122.59
878	106518	121.32
879	108000	122.87
880	107346	121.98
881	109581	124.38
882	104589	118.58
883	106807	120.96
884	103125	116.66
885	105984	119.76
886	103607	116.94
887	105341	118.76
888	103648	116.72
889	103703	116.65
890	109644	123.20
891	112121	125.84
892	108152	121.25
893	129494	145.01
894	110754	123.89
895	111032	124.06
896	111847	124.83
897	108068	120.48
898	107097	119.26
899	115745	128.75
900	110444	122.72
901	107613	119.44
902	109104	120.96
903	107147	118.66
904	108051	119.53
905	110380	121.97
906	114499	126.38
907	109091	120.28
908	111067	122.32
909	109863	120.86
910	113496	124.72
911	108800	119.43
912	106857	117.17
913	111365	121.98
914	113099	123.74
915	107203	117.16
916	107000	116.81
917	107769	117.52
918	112169	122.19
919	112655	122.58
920	109502	119.02
921	107900	117.16
922	107811	116.93
923	110643	119.87
924	110126	119.18
925	110196	119.13
926	111408	120.31
927	114073	123.06
928	108700	117.13
929	116200	125.08
930	113798	122.36
931	110594	118.79
932	111168	119.28
933	110007	117.91
934	110551	118.36
935	113020	120.88
936	112885	120.60
937	110726	118.17
938	115951	123.62
939	115382	122.88
940	111816	118.95
941	110918	117.87
942	114097	121.12
943	112556	119.36
944	111374	117.98
945	110254	116.67
946	114038	120.55
947	118382	125.01
948	114647	120.94
949	116272	122.52
950	113630	119.61
951	111733	117.49
952	111088	116.69
953	112746	118.31
954	111297	116.66
955	112003	117.28
956	118921	124.39
957	114962	120.13
958	115819	120.90
959	116902	121.90
960	113776	118.52
961	118202	123.00
962	117003	121.62
963	113605	117.97
964	114221	118.49
965	118069	122.35
966	116816	120.93
967	119592	123.67
968	115700	119.52
969	113242	116.86
970	114570	118.11
971	117460	120.97
972	119582	123.03
973	114241	117.41
974	119156	122.34
975	118452	121.49
976	118051	120.95
977	117905	120.68
978	115376	117.97
979	114616	117.07
980	114429	116.76
981	114507	116.72
982	116033	118.16
983	117813	119.85
984	118887	120.82
985	121253	123.10
986	115554	117.19
987	118112	119.67
988	122693	124.18
989	115417	116.70
990	117019	118.20
991	119254	120.34
992	120144	121.11
993	118908	119.75
994	121035	121.77
995	116717	117.30
996	126739	127.25
997	117568	117.92
998	119237	119.48
999	120745	120.87
1000	118931	118.93
1001	117974	117.86
1002	119605	119.37
1003	124670	124.30
1004	123503	123.01
1005	126964	126.33
1006	121542	120.82
1007	122532	121.68
1008	129011	127.99
1009	121088	120.01
1010	124596	123.36
1011	119869	118.56
1012	122941	121.48
1013	120678	119.13
1014	123557	121.85
1015	122690	120.88
1016	122303	120.38
1017	121888	119.85
1018	124989	122.78
1019	121738	119.47
1020	119264	116.93
1021	120424	117.95
1022	119347	116.78
1023	122211	119.46
1024	121484	118.64
1025	123014	120.01
1026	125516	122.34
1027	124956	121.67
1028	125297	121.88
1029	119788	116.41
1030	124864	121.23
1031	120993	117.35
1032	121343	117.58
1033	124380	120.41
1034	123917	119.84
1035	122405	118.27
1036	120889	116.69
1037	123718	119.30
1038	124492	119.93
1039	121632	117.07
1040	126314	121.46
1041	133131	127.89
1042	140374	134.72
1043	124442	119.31
1044	122353	117.20
1045	122114	116.86
1046	123757	118.31
1047	128487	122.72
1048	128071	122.21
1049	123890	118.10
1050	124977	119.03
1051	125025	118.96
1052	128677	122.32
1053	127118	120.72
1054	126416	119.94
1055	122956	116.55
1056	125058	118.43
1057	126109	119.31
1058	128366	121.33
1059	129464	122.25
1060	128108	120.86
1061	131228	123.68
1062	130141	122.54
1063	126603	119.10
1064	128690	120.95
1065	129553	121.65
1066	127272	119.39
1067	125855	117.95
1068	125881	117.87
1069	126307	118.15
1070	126286	118.02
1071	131208	122.51
1072	129759	121.04
1073	128969	120.19
1074	128015	119.19
1075	131477	122.30
1076	128514	119.44
1077	126896	117.82
1078	131779	122.24
1079	129570	120.08
1080	129820	120.20
1081	130488	120.71
1082	131711	121.73
1083	128522	118.67
1084	126199	116.42
1085	129092	118.98
1086	129486	119.23
1087	131442	120.92
1088	131312	120.69
1089	136514	125.36
1090	133856	122.80
1091	127357	116.73
1092	128697	117.85
1093	129883	118.83
1094	132510	121.12
1095	132456	120.96
1096	129268	117.95
1097	129682	118.22
1098	129111	117.59
1099	129640	117.96
1100	129924	118.11
1101	130384	118.42
1102	132997	120.69
1103	134393	121.84
1104	128674	116.55
1105	137098	124.07
1106	134450	121.56
1107	129167	116.68
1108	135538	122.33
1109	130947	118.08
1110	130575	117.64
1111	129725	116.76
1112	132054	118.75
1113	137457	123.50
1114	133662	119.98
1115	134633	120.75
1116	133436	119.57
1117	131251	117.50
1118	130457	116.69
1119	131874	117.85
1120	134250	119.87
1121	137626	122.77
1122	136270	121.45
1123	137565	122.50
1124	137687	122.50
1125	136709	121.52
1126	133008	118.12
1127	131328	116.53
1128	135265	119.92
1129	135483	120.00
1130	136216	120.55
1131	139729	123.54
1132	135375	119.59
1133	138988	122.67
1134	145074	127.93
1135	136376	120.16
1136	137125	120.71
1137	132969	116.95
1138	135255	118.85
1139	135370	118.85
1140	134167	117.69
1141	134554	117.93
1142	132959	116.43
1143	133781	117.04
1144	140602	122.90
1145	138133	120.64
1146	136568	119.17
1147	135090	117.78
1148	136802	119.17
1149	137321	119.51
1150	137214	119.32
1151	134225	116.62
1152	137818	119.63
1153	142081	123.23
1154	135007	116.99
1155	139195	120.52
1156	136771	118.31
1157	141147	121.99
1158	141566	122.25
1159	135201	116.65
1160	135159	116.52
1161	136215	117.33
1162	135237	116.38
1163	139985	120.37
1164	141200	121.31
1165	139301	119.57
1166	137558	117.97
1167	136654	117.10
1168	141364	121.03
1169	140257	119.98
1170	138190	118.11
1171	140091	119.63
1172	144578	123.36
1173	140360	119.66
1174	140410	119.60
1175	138749	118.08
1176	137175	116.65
1177	140781	119.61
1178	141995	120.54
1179	139253	118.11
